osm_id,jurisd_base_id,jurisd_local_id,name,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,ddd,info
1356413,170,19022,Almaguer,CAU,,2308989,almaguer,CO-CAU-Almaguer,,"{""area_sr"": 0.019, ""area_km2"": 234, ""boundary"": ""administrative"", ""objectid"": 4385, ""DANE:area"": 224.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Almaguer"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Cauca"", ""side_estim_km"": 15.3, ""side_estim_deg"": 0.1378, ""DANE:departamento"": 19, ""elongation_factor"": 1.05, ""sys_housenumbering"": ""street-metric""}"
1632077,170,19050,Argelia,CAU,,2429884,argelia,CO-CAU-Argelia,,"{""area_sr"": 0.06292, ""area_km2"": 774, ""boundary"": ""administrative"", ""objectid"": 3901, ""DANE:area"": 674.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Argelia (Cauca)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Cauca"", ""side_estim_km"": 27.8, ""side_estim_deg"": 0.2508, ""DANE:departamento"": 19, ""elongation_factor"": 1.47, ""sys_housenumbering"": ""street-metric""}"
1694626,170,19075,Balboa,CAU,,2309052,balboa,CO-CAU-Balboa,,"{""area_sr"": 0.03347, ""area_km2"": 412, ""boundary"": ""administrative"", ""objectid"": 3902, ""DANE:area"": 329.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Balboa (Cauca)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Cauca"", ""side_estim_km"": 20.3, ""side_estim_deg"": 0.1829, ""DANE:departamento"": 19, ""elongation_factor"": 1.57, ""sys_housenumbering"": ""street-metric""}"
1554702,170,19100,Bolívar,CAU,,1936249,bolivar,CO-CAU-Bolivar,,"{""area_sr"": 0.06452, ""area_km2"": 794, ""fat_deg_m"": 0.0000090, ""side_estim_km"": 28.2, ""side_estim_deg"": 0.254, ""elongation_factor"": 2.53}"
1717031,170,19110,"Buenos Aires",CAU,,2025478,buenos.aires,CO-CAU-BuenosAires,,"{""area_sr"": 0.01837, ""area_km2"": 226, ""boundary"": ""administrative"", ""objectid"": 3895, ""DANE:area"": 410.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Buenos Aires (Cauca)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Cauca"", ""side_estim_km"": 15, ""side_estim_deg"": 0.1355, ""DANE:departamento"": 19, ""elongation_factor"": 2.27, ""sys_housenumbering"": ""street-metric""}"
1717032,170,19130,Cajibío,CAU,,1256885,cajibio,CO-CAU-Cajibio,,"{""area_sr"": 0.04464, ""area_km2"": 549, ""boundary"": ""administrative"", ""objectid"": 3898, ""DANE:area"": 526.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Cajibío"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Cauca"", ""side_estim_km"": 23.4, ""side_estim_deg"": 0.2113, ""DANE:departamento"": 19, ""elongation_factor"": 2.03, ""sys_housenumbering"": ""street-metric""}"
1722357,170,19137,Caldonó,CAU,,1391900,caldono,CO-CAU-Caldono,,"{""area_sr"": 0.02897, ""alt_name"": ""Caldono"", ""area_km2"": 356, ""boundary"": ""administrative"", ""objectid"": 3891, ""DANE:area"": 373.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Caldonó (Cauca)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Cauca"", ""side_estim_km"": 18.9, ""side_estim_deg"": 0.1702, ""DANE:departamento"": 19, ""elongation_factor"": 1.96, ""sys_housenumbering"": ""street-metric""}"
1722356,170,19142,Caloto,CAU,,2420491,caloto,CO-CAU-Caloto,,"{""area_sr"": 0.02195, ""area_km2"": 270, ""boundary"": ""administrative"", ""objectid"": 3888, ""DANE:area"": 302.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Caloto"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Cauca"", ""side_estim_km"": 16.4, ""side_estim_deg"": 0.1481, ""DANE:departamento"": 19, ""elongation_factor"": 2.9, ""sys_housenumbering"": ""street-metric""}"
1723758,170,19212,Corinto,CAU,,2236398,corinto,CO-CAU-Corinto,,"{""area_sr"": 0.02646, ""area_km2"": 325, ""boundary"": ""administrative"", ""objectid"": 3885, ""DANE:area"": 294.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Corinto (Cauca)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Cauca"", ""side_estim_km"": 18, ""side_estim_deg"": 0.1627, ""DANE:departamento"": 19, ""elongation_factor"": 1.52, ""sys_housenumbering"": ""street-metric""}"
1632120,170,19256,"El Tambo",CAU,,961294,el.tambo,CO-CAU-ElTambo,,"{""area_sr"": 0.22209, ""area_km2"": 2731, ""boundary"": ""administrative"", ""objectid"": 3900, ""DANE:area"": 2615.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:El Tambo (Cauca)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Cauca"", ""side_estim_km"": 52.3, ""side_estim_deg"": 0.4713, ""DANE:departamento"": 19, ""elongation_factor"": 2.09, ""sys_housenumbering"": ""street-metric""}"
1554698,170,19290,Florencia,CAU,,2308980,florencia,CO-CAU-Florencia,,"{""area_sr"": 0.00462, ""area_km2"": 57, ""boundary"": ""administrative"", ""objectid"": 3933, ""DANE:area"": 56.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Florencia (Cauca)"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Cauca"", ""side_estim_km"": 7.5, ""side_estim_deg"": 0.068, ""DANE:departamento"": 19, ""elongation_factor"": 1.61, ""sys_housenumbering"": ""street-metric""}"
1453518,170,19300,Guachené,CAU,,3091297,guachene,CO-CAU-Guachene,,"{""area_sr"": 0.00808, ""area_km2"": 99, ""boundary"": ""administrative"", ""objectid"": 4003, ""DANE:area"": 97.00, ""fat_deg_m"": 0.0000090, ""wikipedia"": ""es:Guachené"", ""entidad_te"": ""Cabecera Municipal"", ""admin_level"": 6, ""is_in:state"": ""Cauca"", ""side_estim_km"": 10, ""side_estim_deg"": 0.0899, ""DANE:departamento"": 19, ""elongation_factor"": 2.56, ""sys_housenumbering"": ""street-metric""}"
